City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Sur,22.5667,59.5289,81.79,79,37,17.22,OM,1658862769
Sur,22.5667,59.5289,81.79,79,37,17.22,OM,1658862782
Mahébourg,-20.4081,57.7,69.26,82,3,12.5,MU,1658862783
Naze,28.3667,129.4833,79.5,77,2,5.75,JP,1658862783
Mataura,-46.1927,168.8643,44.47,97,100,7.65,NZ,1658862784
East London,-33.0153,27.9116,64.06,58,5,10.54,ZA,1658862784
Butaritari,3.0707,172.7902,81.55,75,12,17.87,KI,1658862784
West Memphis,35.1465,-90.1845,97.11,33,39,10.38,US,1658862576
Vaini,-21.2,-175.2,71.76,88,20,5.75,TO,1658862785
La Ronge,55.1001,-105.2842,62.56,66,87,12.24,CA,1658862785
Kokopo,-4.352,152.2633,76.95,83,38,2.37,PG,1658862785
Yellowknife,62.456,-114.3525,68.56,52,12,5.99,CA,1658862786
Paamiut,61.994,-49.6678,42.19,93,22,18.16,GL,1658862787
Tasiilaq,65.6145,-37.6368,42.96,92,100,1.79,GL,1658862787
Zabul Province,32.25,67.25,76.5,54,12,3.91,AF,1658862788
Bambous Virieux,-20.3428,57.7575,69.22,81,4,12.33,MU,1658862788
Hilo,19.7297,-155.09,82.27,90,100,3.44,US,1658862767
Virginia Beach,36.8529,-75.978,92.01,78,75,4.61,US,1658862789
Cabo San Lucas,22.8909,-109.9124,90.61,58,20,4.61,MX,1658862631
Acaraú,-2.8856,-40.12,82.85,60,39,16.58,BR,1658862790
Abnūb,27.2696,31.1511,90.48,12,0,10.96,EG,1658862791
Hong Kong,22.2855,114.1577,86.38,77,0,8.99,HK,1658862181
Kapaa,22.0752,-159.319,82.72,72,40,16.11,US,1658862791
Karratha,-20.7377,116.8463,68.13,29,7,7.31,AU,1658862792
São Miguel do Araguaia,-13.275,-50.1628,92.3,20,2,5.61,BR,1658862517
Cap-aux-Meules,47.3821,-61.8597,64.96,81,0,12.12,CA,1658862541
Ranipur,27.2879,68.5051,82.2,87,100,7.87,PK,1658862792
Punta Arenas,-53.15,-70.9167,39.22,70,75,13.8,CL,1658862793
Albany,42.6001,-73.9662,77.36,52,100,1.01,US,1658862635
Ponta do Sol,32.6667,-17.1,86.72,64,4,6.08,PT,1658862793
Pangkalanbuun,-2.6833,111.6167,74.05,96,98,1.32,ID,1658862794
Dikson,73.5069,80.5464,46.58,87,100,27.81,RU,1658862794
Avera,33.194,-82.5271,92.71,35,99,10.54,US,1658862795
Teahupoo,-17.8333,-149.2667,71.56,87,88,15.19,PF,1658862795
Severo-Kuril'sk,50.6789,156.125,51.53,87,88,4.56,RU,1658862538
Labuhan,-6.8844,112.2051,74.66,84,70,6.85,ID,1658862796
Khatanga,71.9667,102.5,64.89,60,54,8.81,RU,1658862796
Maxixe,-23.8597,35.3472,62.91,72,0,4.52,MZ,1658862796
Arraial do Cabo,-22.9661,-42.0278,75.06,73,20,18.41,BR,1658862797
Mar del Plata,-38.0023,-57.5575,57.22,97,100,5.99,AR,1658862797
Bluff,-46.6,168.3333,44.8,89,100,22.46,NZ,1658862798
Yulara,-25.2406,130.9889,43.12,58,0,8.63,AU,1658862798
Cape Town,-33.9258,18.4232,57.27,79,47,1.99,ZA,1658862798
Lozuvatka,48.0571,33.2858,68.09,56,4,5.06,UA,1658862799
New Norfolk,-42.7826,147.0587,44.1,87,87,2.91,AU,1658862799
Kaitangata,-46.2817,169.8464,45.37,95,100,13.94,NZ,1658862800
Oodweyne,9.4092,45.064,77.4,34,100,21.27,SO,1658862800
Barrow,71.2906,-156.7887,35.62,93,100,14.97,US,1658862801
Ostrovnoy,68.0531,39.5131,60.85,71,100,18.97,RU,1658862801
Atuona,-9.8,-139.0333,77.32,74,9,17.58,PF,1658862802
Ahipara,-35.1667,173.1667,56.08,74,94,16.73,NZ,1658862802
Torrijos,39.9819,-4.2835,91.78,18,0,13.96,ES,1658862802
Oddur,4.1213,43.8894,74.28,65,6,23.33,SO,1658862803
Kahului,20.8947,-156.47,84.22,69,20,20.71,US,1658862803
Arkhangelsk,64.5401,40.5433,66.31,72,20,4.47,RU,1658862569
Suntar,62.1444,117.6319,68.92,86,0,4.65,RU,1658862804
Saskylakh,71.9167,114.0833,64.6,89,42,3.85,RU,1658862805
Tarakan,3.3,117.6333,79.7,79,100,5.01,ID,1658862805
Hammerfest,70.6634,23.6821,66.65,68,40,5.75,NO,1658862805
Knysna,-34.0363,23.0471,59.76,55,94,5.93,ZA,1658862806
Ertil',51.8406,40.8056,67.08,83,4,6.55,RU,1658862806
Castro,-24.7911,-50.0119,72.91,44,0,4.32,BR,1658862807
